date,plaid_merchant_description,amount,plaid_category,write_off_status (basic rules),ground_truth,keeper_merchant_description,keeper_category,write_off_status (keeper first pass),write_off_status (keeper after 1st session)
2022-07-16,Zelle Transfer Conf# 2tagioiiphw; Tim,"-$2,175.00","['Transfer', 'Credit']",no,no,Zelle Transfer - Tim,↔️ transfer,no,no
2022-07-18,MOBILE PURCHASE 07/18 SHELL,$66.32,"['Travel', 'Gas Stations']",no,no,Shell,⛽ gas fill up,no,no
2022-07-20,SQUARESPACE INC. HTTPSSQUARESP NY 07/20,$18.75,"['Shops', 'Digital Purchase']",needs review,yes,Squarespace,💻 software,yes,yes
2022-07-21,Debit from Purchase DD DOORDASH TERIYAKIKING,$21.73,"['Food and Drink', 'Restaurants']",needs review,no,Doordash - Teriyaki King,🍽️ business meal,no,no
2022-07-21,ONLINE TRANSFER BANK OF AMERICA 7/21 #XXXXX0008324,$500.00,"['Transfer', 'Debit']",needs review,no,Transfer - Bank of America,↔️ transfer,no,no
2022-07-22,DD DOORDASH TERIYAKIKING,$24.00,"['Food and Drink', 'Restaurants']",needs review,duplicate,Doordash - Teriyaki King,🍽️ business meal,duplicate,duplicate
2022-07-24,CHECKCARD DNH*GODADDY.COM TEMPE AZ ON 07/24,$9.99,"['Shops', 'Digital Purchase']",needs review,yes,GoDaddy,💻 software,yes,yes
2022-07-24,LINKEDIN-781*4103855LNKD.IN/BILL CA,$11.99,"['Shops', 'Digital Purchase']",needs review,yes,LinkedIn,💻 software,yes,yes
2022-07-24,Debit from Purchase DD DOORDASH CHIPOTLEMEXGR,$18.73,"['Food and Drink', 'Restaurants']",needs review,no,Doordash - Chipotle,🍽️ business meal,no,no
2022-07-25,DD DOORDASH CHIPOTLEMEXGR,$21.00,"['Food and Drink', 'Restaurants']",needs review,duplicate,Doordash - Chipotle,🍽️ business meal,duplicate,duplicate
2022-07-26,WEB AUTHORIZED*0282JG LOGO INFINIX,$50.88,"['Shops', 'Digital Purchase']",needs review,yes,Logo Infinix,📢 advertising,yes,yes
2022-07-27,LEMONADE I* LEMONADE I NEW YORK CITY NY 23062 Mobile Purchase,$10.99,"['Food and Drink', 'Restaurants']",needs review,yes,Lemonade Insurance,🌪️ home insurance,yes,yes
2022-07-27,STARBUCKS 800-782-7282 SEATTLE WAUS,$9.58,"['Food and Drink', 'Restaurants', 'Coffee Shop']",needs review,yes,Starbucks,☕ coffee shop,needs review,yes
2022-07-28,"NETFLIX, INC 186-65797172 CA CARD8324",$9.99,"['Shops', 'Digital Purchase']",needs review,no,Netflix,📺 entertainment,no,no
2022-07-28,PURCHASE KEYCHRON XXXXXXX8324 ON 07/28,$248.35,"['Shops', 'Digital Purchase']",needs review,yes,Keychron,📦 supplies,yes,yes
2022-07-28,BANK OF AMERICA ATM 07/28 #XXXXX0008324 WITHDRWL 3RD AND MAIN,$150.00,['Bank Fees'],no,no,ATM Withdrawal,↔️ transfer,no,no
2022-07-30,CHECKCARD 0706 LTF LIFE TIME CHICAGO IL XXXXXXXXXXXXXXX8324 RECURRING,$65.36,"['Recreation', 'Gyms and Fitness Centers']",no,no,Life Time Fitness,💇 personal care,no,no
2022-07-30,Zelle Transfer Conf# iy844gwwy; Tim,"-$1,900.00","['Transfer', 'Credit']",no,no,Zelle Transfer - Tim,↔️ transfer,no,no
2022-07-30,ONLINE TRANSFER BANK OF AMERICA 7/30 #XXXXX0008324,$250.00,"['Transfer', 'Debit']",needs review,no,Transfer - Bank of America,↔️ transfer,no,no
2022-07-31,Zelle Transfer Conf# 682au390; Arthur Realty,"$1,175.00","['Transfer', 'Debit']",needs review,yes,Arthur Realty,🏠 rent,needs review,yes
2022-07-31,3683 WQGGH46L AMAZON.COMHYY650 AMAZON.COM SEATTLEWA C# 0497,$12.21,"['Shops', 'Digital Purchase']",needs review,yes,Amazon,📦 supplies,needs review,needs review
2022-08-01,TRELLO.COM* ATLASSIAN XXXXXXXXXXXX0497,$14.99,"['Shops', 'Digital Purchase']",needs review,yes,Trello,💻 software,yes,yes
2022-08-01,PMNT SENT 0801 APPLE CASH - SENT CA XXXXX3630XXXXXXXXXX8324,$960.09,"['Payment', 'Credit Card']",no,no,Apple Card Payment,↔️ transfer,no,no
2022-08-02,DEBIT ONLINE PURCHASE 08/02 XXXX8324,$32.55,"['Shops', 'Digital Purchase']",needs review,no,Online Purchase,💰 other expense,needs review,no
2022-08-03,eBay O*25- DDAVCH,$32.55,"['Shops', 'Digital Purchase']",needs review,no,eBay,📦 supplies,duplicate,duplicate
2022-08-03,PGANDE DES:WEB ONLINE ID:XXXXXXXXXX8324 INDN:JOHNNY CO ID:XXXXX11632 WEB,$86.34,"['Travel', 'Gas Stations']",no,yes,PG&E,🏠 utilities,yes,yes
2022-08-03,DEBIT ONLINE PURCHASE 8/03 XXXX8324,$28.20,"['Shops', 'Digital Purchase']",needs review,no,Online Purchase,💰 other expense,needs review,no
2022-08-04,eBay O*25- DDAVCH,$28.20,"['Shops', 'Digital Purchase']",needs review,no,eBay,📦 supplies,duplicate,duplicate
2022-08-05,Zelle Transfer Conf# 7adg9h3; Adam,-$22.00,"['Transfer', 'Credit']",no,no,Zelle Transfer - Adam,↔️ transfer,no,no
2022-08-05,STARBUCKS 800-782-7282 SEATTLE WAUS,$10.46,"['Food and Drink', 'Restaurants', 'Coffee Shop']",needs review,no,Starbucks,☕ coffee shop,needs review,yes
2022-08-07,RECURRING DEBIT CARD XXXXX2069 TMOBILEAUTO PAY XXXXX8324,$75.99,"['Service', 'Telecommunication Services']",yes,yes,T-Mobile,📶 phone bill,yes,yes
2022-08-07,ACH WEB IXBB54OYT ADOBE PHOTOSH,$24.50,"['Shops', 'Digital Purchase']",needs review,yes,Adobe Photoshop,💻 software,yes,yes
2022-08-08,EMPORIUM 40 CHICAGO IL XXXXXXXXXXXX8324,$57.43,"['Food and Drink', 'Restaurants']",needs review,no,Emporium,🍽️ business meal,needs review,needs review
2022-08-08,Zelle Transfer Conf# 582uyt73; Family,-$80.00,"['Transfer', 'Credit']",no,no,Zelle Transfer - Family,↔️ transfer,no,no
2022-08-08,Zelle Transfer Conf# 2ag44jpio; Sarah,$30.00,"['Transfer', 'Debit']",needs review,no,Zelle Transfer - Sarah,↔️ transfer,needs review,no
2022-08-08,AT 09:36 SGC - ADIDAS HCM VNM DEBIT AUTHORIZATION Aug7 09:36a 8324,$120.77,"['Shops', 'Digital Purchase']",needs review,no,Adidas,👖 clothing,no,no
2022-08-08,PLAYSTATION NETWORK XXXXX7669,$16.99,"['Shops', 'Digital Purchase']",needs review,no,Playstation Network,📺 entertainment,no,no
2022-08-09,DOS TOROS MEXICAN GRI CHICAGO IL WITHDRWL XX2525,$18.99,"['Food and Drink', 'Restaurants']",needs review,yes,Dos Toros,🍽️ business meal,needs review,yes
2022-08-09,MOBILE PURCHASE CITY CHICA PARKING 08/09,$1.57,"['Travel', 'Parking']",no,yes,City of Chicago Parking,🅿️ parking,needs review,needs review
2022-08-10,DOS TOROS MEXICAN GRI CHICAGO IL,$18.99,"['Food and Drink', 'Restaurants']",needs review,duplicate,Dos Toros,🍽️ business meal,duplicate,duplicate
2022-08-11,Comcast Chicago il,$79.99,"['Service', 'Cable']",yes,yes,Comcast,🌐 wifi bill,yes,yes
2022-08-11,Debit from Purchase DD DOORDASH CHIPOTLEMEXGR,$18.73,"['Food and Drink', 'Restaurants']",needs review,no,Doordash - Chipotle,🍽️ business meal,no,no
2022-08-12,MOBILE PURCHASE 08/12 MARATHON PETRO11,$105.02,"['Travel', 'Gas Stations']",no,no,Marathon,⛽ gas fill up,no,no
2022-08-12,POS DEBIT UDEMY SAN FRANCISC CA 0CN0 8324,$14.99,"['Shops', 'Digital Purchase']",needs review,yes,Udemy,🎓 industry education,needs review,yes
2022-08-12,DD DOORDASH CHIPOTLEMEXGR,$21.00,"['Food and Drink', 'Restaurants']",needs review,duplicate,Doordash - Chipotle,🍽️ business meal,duplicate,duplicate
2022-08-13,5374 ATJJ2322 AMAZON.COMH65YZ34BA AMAZON.COM SEATTLEWA C# 0497,$40.60,"['Shops', 'Digital Purchase']",needs review,no,Amazon,📦 supplies,needs review,needs review
2022-08-13,Zelle Transfer Conf# 06wku35; Tim,"-$1,950.00","['Transfer', 'Credit']",no,no,Zelle Transfer - Tim,↔️ transfer,no,no
2022-08-13,Monthly Maintenance Fee,$12.00,['Bank Fees'],yes,no,Monthly Maintenance Fee,🏦 bank fee,no,no
2022-08-14,SOJU ANJU BAR,$90.15,"['Food and Drink', 'Restaurants']",needs review,no,Soju Anju Bar,🍽️ business meal,needs review,needs review
2022-08-14,PURCHASE AUTHORIZED ON 08/14 UNITED 016983 CHICAGO IL S303059015440144 CARD 8324,$225.75,"['Travel', 'Airlines and Aviation Services']",needs review,no,United Airlines,🛫 flight,needs review,no
2022-08-15,AIRBNB HM4S4WYWENB,$360.58,"['Travel', 'Lodging', 'Hotels and Motels']",needs review,no,AirBnB,🛏️ travel lodging,needs review,no
2022-08-15,"Apple.com/Bill, Www.Apple.com","$1,530.68","['Payment', 'Credit Card']",no,yes,Apple,📦 supplies,needs review,needs review
2022-08-15,TRADER JO TRAD 08/15 #XXXXX8324 PURCHASE TRADER JO TRADER,$98.33,"['Shops', 'Supermarkets and Groceries']",no,no,Trader Joe's,🛒 groceries,no,no
2022-08-15,ONLINE TRANSFER BANK OF AMERICA 8/15 #XXXXX0008324,$250.00,"['Transfer', 'Debit']",needs review,no,Transfer - Bank of America,↔️ transfer,no,no
2022-08-16,Dropbox BBBZKILNMV 141-58576933 CA 08/16,$13.99,"['Shops', 'Digital Purchase']",needs review,yes,Dropbox,💻 software,yes,yes
2022-08-16,2239 MJ4LBR3A AMAZON.COMH51UG38I0 AMAZON.COM SEATTLEWA C# 0497,$11.62,"['Shops', 'Digital Purchase']",needs review,no,Amazon,📦 supplies,needs review,needs review
2022-08-17,Zelle Transfer Conf# 2ag44jpio; Sarah,-$21.00,"['Transfer', 'Credit']",no,no,Zelle Transfer - Sarah,↔️ transfer,no,no
2022-08-17,Zelle Transfer Conf# t28d732gh; Walter,-$21.00,"['Transfer', 'Credit']",no,no,Zelle Transfer - Walter,↔️ transfer,no,no
2022-08-17,08/14 UNITED,$225.75,"['Travel', 'Airlines and Aviation Services']",needs review,duplicate,United Airlines,🛫 flight,duplicate,duplicate
2022-08-18,POS DEBIT UDEMY SAN FRANCISC CA 0CN0 6951,$17.99,"['Shops', 'Digital Purchase']",needs review,yes,Udemy,🎓 industry education,needs review,yes
2022-08-20,MOBILE PURCHASE 08/20 MARATHON PETRO11,$68.77,"['Travel', 'Gas Stations']",no,no,Marathon,⛽ gas fill up,no,no
2022-08-20,PURCHASE AUTHORIZED ON 8/18 BOTTLE & BARREL XR262JP3623 XXXX8324,$80.63,"['Food and Drink', 'Restaurants']",needs review,no,Bottle & Barrel,🍽️ business meal,needs review,needs review
2022-08-21,8/18 BOTTLE & BARREL,$92.00,"['Food and Drink', 'Restaurants']",needs review,duplicate,Bottle & Barrel,🍽️ business meal,duplicate,duplicate
2022-08-21,ONLINE TRANSFER BANK OF AMERICA 8/21 #XXXXX0008324,$250.00,"['Transfer', 'Debit']",needs review,no,Transfer - Bank of America,↔️ transfer,no,no
2022-08-23,"NETFLIX, INC 186-65797172 CA CARD8324",$9.99,"['Shops', 'Digital Purchase']",needs review,no,Netflix,📺 entertainment,no,no
2022-08-24,STARBUCKS 800-782-7282 SEATTLE WAUS,$10.25,"['Food and Drink', 'Restaurants', 'Coffee Shop']",needs review,yes,Starbucks,☕ coffee shop,needs review,yes
2022-08-25,LEMONADE I* LEMONADE I NEW YORK CITY NY 23062 Mobile Purchase,$10.99,"['Food and Drink', 'Restaurants']",needs review,yes,Lemonade Insurance,🌪️ home insurance,yes,yes
2022-08-25,LINKEDIN-781*4103855LNKD.IN/BILL CA,$11.99,"['Shops', 'Digital Purchase']",needs review,yes,LinkedIn,💻 software,yes,yes
2022-08-25,CHECKCARD 0825 LTF LIFE TIME CHICAGO IL XXXXXXXXXXXXXXX8324 RECURRING,$65.36,"['Recreation', 'Gyms and Fitness Centers']",no,no,Life Time Fitness,💇 personal care,no,no
2022-08-25,Debit from Purchase DD DOORDASH ELCAMINOTACO,$24.89,"['Food and Drink', 'Restaurants']",needs review,no,Doordash - El Camino Taco,🍽️ business meal,no,no
2022-08-26,Zelle Transfer Conf# 2ag44jpio; Sarah,$18.00,"['Transfer', 'Debit']",needs review,no,Zelle Transfer - Sarah,↔️ transfer,no,no
2022-08-26,DD DOORDASH ELCAMINOTACO,$28.50,"['Food and Drink', 'Restaurants']",needs review,duplicate,Doordash - El Camino Taco,🍽️ business meal,duplicate,duplicate
2022-08-27,0634 MJ4LBR3A AMAZON.COMH51UG38I0 AMAZON.COM SEATTLEWA C# 0497,$36.11,"['Shops', 'Digital Purchase']",needs review,no,Amazon,📦 supplies,needs review,needs review
2022-08-27,Zelle Transfer Conf# 07jb634uu; Tim,"-$1,800.00","['Transfer', 'Credit']",no,no,Zelle Transfer - Tim,↔️ transfer,no,no
2022-08-28,Zelle Transfer Conf# 86ak3err; Arthur Realty,"$1,175.00","['Transfer', 'Debit']",needs review,yes,Arthur Realty,🏠 rent,needs review,yes
2022-08-30,MOBILE PURCHASE CITY CHICA PARKING 0830,$2.21,"['Travel', 'Parking']",no,yes,City of Chicago Parking,🅿️ parking,needs review,yes
2022-08-31,VINEYARD VINES,$88.76,"['Shops', 'Clothing and Accessories']",no,no,Vineyard Vines,👖 clothing,no,no
2022-09-01,PURCHASE 0828 DOORDASH DASHPASS SAN FRANCISCOCA XXXXX0920XXXXXXXXXX RECURRING,$9.99,"['Food and Drink', 'Restaurants']",needs review,no,DoorDash,💻 software,no,no
2022-09-01,APPLECARD GSBANK DES:PAYMENT ID:7252385 INDN:Jason Martucci CO ID:XXXXX99999 WEB,$380.00,"['Payment', 'Credit Card']",no,no,Applecard,↔️ transfer,no,no
2022-09-01,PURCHASE 0828 DOORDASH DASHPASS SAN FRANCISCOCA,$9.99,"['Food and Drink', 'Restaurants']",needs review,duplicate,DoorDash,💻 software,duplicate,duplicate
2022-09-02,TRELLO.COM* ATLASSIAN XXXXXXXXXXXX0497,$14.99,"['Shops', 'Digital Purchase']",needs review,yes,Trello,💻 software,yes,yes
2022-09-03,CHECKCARD 0901 DEL FUEGO E. NORTHPORT PENDING,$56.89,"['Food and Drink', 'Restaurants']",needs review,yes,Del Fuego,🍽️ business meal,needs review,needs review
2022-09-04,CHECKCARD 0903 SPEEDWAY 07642 COMMACK XXXXX3720XXXXXXXXXX,$67.98,"['Travel', 'Gas Stations']",no,no,Speedway,🛒 supermarket,no,no
2022-09-04,CHECKCARD 0901 DEL FUEGO E. NORTHPORT,$56.89,"['Food and Drink', 'Restaurants']",needs review,duplicate,Del Fuego,🍽️ business meal,duplicate,duplicate
2022-09-06,CHECKCARD 0903 SPEEDWAY 07642 COMMACK,$67.98,"['Travel', 'Gas Stations']",no,duplicate,Speedway,🛒 supermarket,duplicate,duplicate
2022-09-07,Online scheduled transfer from CHK 6335 Confirmation# XXXXX98704,-$25.00,"['Transfer', 'Internal Account Transfer']",no,no,Online Scheduled Transfer,↔️ transfer,no,no
2022-09-07,"Apple.com/Bill, Www.Apple.com",$337.87,"['Payment', 'Credit Card']",no,yes,Apple,📦 supplies,needs review,yes
2022-09-07,CHECKCARD 0903 FIVE STAR CAR WAS E NORTHPORT,$45.57,"['Service', 'Automotive', 'Car Wash and Detail']",no,no,Five Star Car Wash,✨ car wash,no,no
2022-09-07,TARGET DEBIT CRD ACH TRAN CO ID:XXXXX15170 POS TARGET -1108,$13.40,"['Shops', 'Supermarkets and Groceries']",needs review,yes,Target,📦 supplies,needs review,needs review
2022-09-07,UBER EATS CHECKCARD 09/06,$24.59,"['Food and Drink', 'Restaurants']",needs review,no,Uber Eats,🍽️ business meal,no,no
2022-09-07,CHECKCARD 0904 PRATO 850 XXXXX6120XXXXXXXXXX5108,$82.15,['Service'],needs review,no,Prato,👖 clothing,no,no
2022-09-09,CHECKCARD 0908 CHANGING TIMES PU FARMINGDALE,$53.23,"['Food and Drink', 'Restaurants']",needs review,no,Changing Times,🍽️ business meal,needs review,needs review
2022-09-09,CHECKCARD 0909 QDI*QUEST DIAGNOS IL XXXXX8620XXXXXXXXXX RECURRING,$20.00,['Service'],needs review,no,Quest Diagnostics,🏥 medical expense,no,no
2022-09-14,BANK OF AMERICA CREDIT CARD Bill Payment,$500.00,"['Payment', 'Credit Card']",no,no,Bank of America - Credit Card,↔️ transfer,no,no
2022-09-14,Dropbox BBBZKILNMV 141-58576933 CA 09/14,$13.99,"['Shops', 'Digital Purchase']",needs review,yes,Dropbox,💻 software,yes,yes
2022-09-14,PURCHASE 0913 TST* TOA ASIAN FU XXXXXX,$28.62,"['Food and Drink', 'Restaurants']",needs review,no,T.O.A Asian Fusion,🍽️ business meal,needs review,needs review
2022-09-15,Comcast Chicago il,$79.99,"['Service', 'Cable']",yes,yes,Comcast,🌐 wifi bill,yes,yes
2022-09-16,CHECKCARD 0915 CHANGING TIMES AL EAST NORTHPOR,$24.44,"['Transfer', 'Third Party', 'Square']",needs review,no,Changing Times,🍽️ business meal,needs review,no
2022-09-18,CHECKCARD 0916 FOLEY'S SMITHTOWN XXXXX2920XXXXXXXXXX8324,$17.48,"['Food and Drink', 'Restaurants']",needs review,no,Foley's Smithtown,🍽️ business meal,needs review,needs review
2022-09-18,CHECKCARD 0915 CHANGING TIMES,$24.44,"['Transfer', 'Third Party', 'Square']",needs review,duplicate,Changing Times,🍽️ business meal,duplicate,duplicate
2022-09-18,DEBIT ONLINE PURCHASE 9/18 XXXX8324,$32.33,"['Shops', 'Digital Purchase']",needs review,no,Online Purchase,💰 other expense,needs review,no
2022-09-21,eBay O*25- DDAVCH#5232,$32.33,"['Shops', 'Digital Purchase']",needs review,no,eBay,📦 supplies,duplicate,duplicate
2022-09-21,CHECKCARD 0919 FOUNDERS ROOM HUNTINGTON,$26.90,"['Food and Drink', 'Restaurants']",needs review,no,Founder's Room,📺 entertainment,no,no
2022-09-22,Zelle Transfer Conf# 253st24; Family,$50.00,"['Transfer', 'Debit']",needs review,no,Zelle - Family,💰 payment,needs review,no
2022-09-26,Nordstrom Direct,$146.64,"['Shops', 'Department Stores']",needs review,no,Nordstrom,👖 clothing,no,no
2022-09-28,Zelle Transfer Conf# 86ak25be; Arthur Realty,"$1,175.00","['Transfer', 'Debit']",needs review,yes,Arthur Realty,🏠 rent,needs review,yes
2022-09-28,Zelle Transfer Conf# 07jb634st; Tim,"-$1,610.00","['Transfer', 'Credit']",no,no,Zelle Transfer - Tim,↔️ transfer,no,no
2022-09-29,LEMONADE I* LEMONADE I NEW YORK CITY NY 23022 Mobile Purchase,$10.99,"['Food and Drink', 'Restaurants']",needs review,yes,Lemonade Insurance,🌪️ home insurance,yes,yes
2022-09-30,CHECKCARD 0306 LTF LIFE TIME CHICAGO IL XXXXXXXXXXXXXXX8324 RECURRING,$65.36,"['Recreation', 'Gyms and Fitness Centers']",no,no,Life Time Fitness,💇 personal care,no,no
2022-09-31,623 ATJJ2322 AMAZON.COMH65YZ34BA AMAZON.COM SEATTLEWA C# 0497,$10.85,"['Shops', 'Digital Purchase']",needs review,yes,Amazon,📦 supplies,needs review,needs review
2022-10-01,Zappos.com Transfer Conf# cy6agioiiphw,$217.25,"['Shops', 'Clothing and Accessories']",needs review,no,Zappos,👖 clothing,no,no
2022-10-01,TRELLO.COM* ATLASSIAN XXXXXXXXXXXX0497,$14.99,"['Shops', 'Digital Purchase']",needs review,yes,Trello,💻 software,yes,yes
2022-10-01,BOTTLE BARGAINS,$93.40,"['Shops', 'Discount Stores']",needs review,no,Bottle Bargains,🛒 groceries,no,no
2022-10-01,APPLECARD GSBANK DES:PAYMENT ID:7252385 WEB,$141.54,"['Payment', 'Credit Card']",no,no,Applecard,↔️ transfer,no,no
2022-10-03,Speedway 10/03 #XXXXX8324 MOBILE PURCHASE 522 Chicago IL,$4.79,"['Travel', 'Gas Stations']",no,no,Speedway,🛒 supermarket,no,no
2022-10-04,BLOOMINGDALES CHICAGO800-289-6229,$51.43,"['Shops', 'Department Stores']",needs review,no,Bloomingdale's,👖 clothing,no,no
2022-10-04,PGANDE DES:WEB ONLINE ID:XXXXXXXXXX8324 INDN:JOHNNY CO ID:XXXXX11632 WEB,$86.34,"['Travel', 'Gas Stations']",no,yes,PG&E,🏠 utilities,yes,yes
2022-10-04,PLAYSTATION NETWORK XXXXX7669,$16.99,"['Shops', 'Digital Purchase']",needs review,no,Playstation Network,📺 entertainment,no,no
2022-10-04,CASH REWARDS STATEMENT CREDIT,-$3.44,"['Transfer', 'Credit']",no,no,Cash Rewards Statement,↔️ transfer,no,no
2022-10-04,CHECKCARD 1002 PATIO PIZZA SAINT JAMES XXXX9120XXXXXXXXXX8324,$10.48,"['Food and Drink', 'Restaurants']",needs review,no,Patio Pizza,🍽️ business meal,needs review,no
2022-10-04,Online scheduled transfer from CHK 6335 Confirmation# XXXXX46252,-$50.00,"['Transfer', 'Internal Account Transfer']",no,no,Online Scheduled Transfer,↔️ transfer,no,no
2022-10-04,CHECKCARD 1002 PATIO PIZZA,$10.48,"['Food and Drink', 'Restaurants']",needs review,duplicate,Patio Pizza,🍽️ business meal,duplicate,duplicate
2022-10-05,GROUPON: AUTHORIZED WEB PURCHASE 10/05 IL:562342,$2.72,"['Shops', 'Digital Purchase']",needs review,no,Groupon,💰 payment,no,no
2022-10-07,BLOOMINGDALES HUNTINGTONHUNTINGTN CHICAGO,-$51.43,"['Shops', 'Department Stores']",no,no,Bloomingdale's,♻️ refund,no,no
2022-10-08,Amazon.com*1A7DP41L1 Amzn.com/billWA,$43.77,"['Shops', 'Digital Purchase']",needs review,yes,Amazon,📦 supplies,needs review,needs review
2022-10-09,Comcast Chicago il,$79.99,"['Service', 'Cable']",yes,yes,Comcast,🌐 wifi bill,yes,yes
2022-10-08,Amazon.com*1A7DP41L1 Amzn.com/billWA,$43.77,"['Shops', 'Digital Purchase']",needs review,duplicate,Amazon,📦 supplies,duplicate,duplicate
2022-10-09,DOS TOROS MEXICAN GRI CHICAGO IL WITHDRWL XX2525,$18.99,"['Food and Drink', 'Restaurants']",needs review,yes,Dos Toros,🍽️ business meal,needs review,yes
2022-10-11,TST* TOA Asian Fusion -,$77.57,"['Food and Drink', 'Restaurants']",needs review,yes,T.O.A Asian Fusion,🍽️ business meal,needs review,needs review
2022-10-11,Online scheduled transfer from CHK 6335 Confirmation# XXXXX8324,-$25.00,"['Transfer', 'Internal Account Transfer']",no,no,Online Scheduled Transfer,↔️ transfer,no,no
2022-10-12,Nordstrom Direct,$32.06,"['Shops', 'Department Stores']",needs review,no,Nordstrom,👖 clothing,no,no
2022-10-12,Monthly Maintenance Fee,$12.00,['Bank Fees'],yes,no,Monthly Maintenance Fee,🏦 bank fee,no,no
2022-10-12,BANK OF AMERICA CREDIT CARD Bill Payment,$221.53,"['Payment', 'Credit Card']",no,no,Bank of America - Credit Card,↔️ transfer,no,no
2022-10-13,MOBILE PURCHASE CITY CHICA PARKING 10/13,$2.21,"['Travel', 'Parking']",no,yes,City of Chicago Parking,🅿️ parking,needs review,yes
2022-10-15,VINEYARD VINES,$88.76,"['Shops', 'Clothing and Accessories']",no,no,Vineyard Vines,👖 clothing,no,no
2022-10-15,MSX CHRYSLER* SVC,$175.83,"['Shops', 'Automotive', 'Car Dealers and Leasing']",no,no,MSX Chrysler,🚗 car insurance,no,no
2022-10-16,GROUPON: AUTHORIZED WEB PURCHASE 10/16 IL:62462,$11.25,"['Shops', 'Digital Purchase']",needs review,no,Groupon,💰 payment,needs review,no
2022-10-18,MOBILE PURCHASE 1017 TST* SUNDAE DONUT HUNTINGTON XXXXX8324,$10.27,"['Food and Drink', 'Restaurants']",needs review,no,Sundae Donut,🍽️ business meal,needs review,needs review
2022-10-18,STARBUCKS 800-782-7282 SEATTLE WAUS,$13.46,"['Food and Drink', 'Restaurants', 'Coffee Shop']",needs review,no,Starbucks,☕ coffee shop,needs review,needs review
2022-10-19,Zelle Transfer Conf# 7adg9h3; Adam,-$25.00,"['Transfer', 'Credit']",no,no,Zelle Transfer - Adam,↔️ transfer,no,no
2022-10-20,Debit from Purchase DD DOORDASH TERIYAKIKING,$22.64,"['Food and Drink', 'Restaurants']",needs review,no,Doordash - Teriyaki King,🍽️ business meal,no,no
2022-10-20,ONLINE TRANSFER BANK OF AMERICA 10/21 #XXXXX0008324,$500.00,"['Transfer', 'Debit']",needs review,no,Transfer - Bank of America,↔️ transfer,no,no
2022-10-21,DD DOORDASH TERIYAKIKING,$24.50,"['Food and Drink', 'Restaurants']",needs review,duplicate,Doordash - Teriyaki King,🍽️ business meal,duplicate,duplicate
2022-10-21,CHECKCARD 1020 Speedway,$74.00,"['Travel', 'Gas Stations']",no,no,Speedway,🛒 supermarket,no,no
2022-10-22,DD DOORDASH MARCOSPIZ,$23.00,"['Food and Drink', 'Restaurants']",needs review,no,Doordash - Marco's Pizza,🍽️ business meal,no,no
2022-10-22,TARGET DEBIT CRD ACH TRAN CO ID:XXXXX15170 POS TARGET -1108,$51.59,"['Shops', 'Supermarkets and Groceries']",needs review,yes,Target,📦 supplies,needs review,needs review
2022-10-22,PAYMENT - THANK YOU,-$350.00,"['Payment', 'Credit Card']",no,no,Card Payment,↔️ transfer,no,no
2022-10-23,SQUARESPACE INC. HTTPSSQUARESP NY 10/23,$18.75,"['Shops', 'Digital Purchase']",needs review,yes,Squarespace,💻 software,yes,yes
2022-10-25,Online scheduled transfer from CHK 8324 Confirmation# XXXXX59638,-$50.00,"['Transfer', 'Internal Account Transfer']",no,no,Online Scheduled Transfer,↔️ transfer,no,no
2022-10-25,TARGET DEBIT CRD ACH TRAN CO ID:XXXXX15170,$51.59,"['Shops', 'Supermarkets and Groceries']",needs review,duplicate,Target,📦 supplies,duplicate,duplicate
2022-10-25,"NETFLIX, INC 186-65797172 CA CARD8324",$9.99,"['Shops', 'Digital Purchase']",needs review,no,Netflix,📺 entertainment,no,no
2022-10-25,CHECKCARD 1023 TOWN BAGEL - PLAI PLAINVIEW XXXXX0321XXXXXXXXXX8324,$18.77,"['Shops', 'Food and Beverage Store']",needs review,yes,Town Bagel,🍽️ business meal,needs review,needs review
2022-10-25,SQUARESPACE INC.,$18.75,"['Shops', 'Digital Purchase']",needs review,duplicate,Squarespace,💻 software,duplicate,duplicate
2022-10-26,TRADER JO TRAD 10/25 #XXXXX8324 PURCHASE TRADER JO TRADER,$67.82,"['Shops', 'Supermarkets and Groceries']",no,no,Trader Joe's,🛒 groceries,no,no
2022-10-28,Zelle Transfer Conf# 86ak3err; Arthur Realty,"$1,175.00","['Transfer', 'Debit']",needs review,yes,Arthur Realty,🏠 rent,needs review,yes
2022-10-28,LINKEDIN-781*4103855LNKD.IN/BILL CA,$11.99,"['Shops', 'Digital Purchase']",needs review,yes,LinkedIn,💻 software,yes,yes
2022-10-29,CHECKCARD 1029 LTF LIFE TIME CHICAGO IL XXXXXXXXXXXXXXX8324 RECURRING,$65.36,"['Recreation', 'Gyms and Fitness Centers']",no,no,Life Time Fitness,💇 personal care,no,no
2022-10-30,3683 WQGGH46L AMAZON.COMHYY650 AMAZON.COM SEATTLEWA C# 0497,$16.66,"['Shops', 'Digital Purchase']",needs review,yes,Amazon,📦 supplies,needs review,needs review
2022-11-01,TRELLO.COM* ATLASSIAN XXXXXXXXXXXX0497,$14.99,"['Shops', 'Digital Purchase']",needs review,yes,Trello,💻 software,yes,yes
2022-11-01,CHI MKTPL BREWE 11/01 #XXXXX1721 MOBILE PURCHASE MKTPL BREWER,$40.67,"['Shops', 'Food and Beverage Store']",needs review,no,Chicago Marketplace Brewery,🍽️ business meal,needs review,needs review
